NR – K – Team,1,Dragon,Dragon Chess Center (3),10.0,20.5,35.5,33.0,29.5
NR – K – Team,2,DetCCC,Detroit City Chess Club (2),1.5,14.5,23.0,1.5,4.0
NR – 1 – Team,1,Dragon,Dragon Chess Center (4),13.0,25.5,44.5,69.0,41.0
NR – 1 – Team,2,DetCCC,Detroit City Chess Club (4),8.0,20.0,34.0,35.5,22.0
NR – 1 – Team,3,CinCDS,Cincinnati Country Day (2),4.5,11.0,17.5,6.0,8.0
NR – 1 – Team,4,GoodRk,Good Rooking Knights (2),3.5,12.5,20.0,10.0,10.5
NR – 1 – Team,5,Wellin,Wellington (2),3.0,16.0,26.0,13.0,9.0
n2FINALtm,1,Dragon,Dragon Chess Center (3),12.5,28.0,47.0,72.5,40.0
n2FINALtm,2,DetCCC,Detroit City Chess Club (5),9.0,23.0,40.0,34.0,28.5
n2FINALtm,3,LincEl,Lincoln Elementary (5),7.5,15.5,27.5,19.5,16.0
n2FINALtm,4,StIgna,St. Ignatius (2),4.5,17.5,29.5,23.5,15.5
n3FINALtm,1,Dragon,Dragon Chess Center (6),12.5,28.0,47.0,70.5,40.5
n3FINALtm,2,LincEl,Lincoln Elementary (5),8.5,21.0,38.0,31.5,24.0
n3FINALtm,3,UprArl,Upper Arlington (2),8.0,17.5,29.0,46.0,24.0
n3FINALtm,4,SuperS,Super Saturday Knights (2),7.0,18.0,28.5,33.0,24.0
n3FINALtm,5,ThreeR,Three Rivers (3),5.5,22.0,35.5,14.5,16.0
n3FINALtm,6,EthelT,Ethel Taylor Academy (3),5.5,19.5,32.0,12.5,13.5
n3FINALtm,7,ReesPr,Rees E Price (2),3.0,12.5,23.0,10.5,10.0
n4FINALtm,1,Dragon,Dragon Chess Center (3),12.0,30.5,49.0,73.0,38.0
n4FINALtm,2,DetCCC,Detroit City Chess Club (4),10.0,23.5,40.5,44.0,31.0
n4FINALtm,3,MtAiry,Mt. Airy (6),9.5,22.5,37.5,40.5,28.5
n4FINALtm,4,GuardA,Guardian Angels (3),9.0,24.0,38.0,35.5,28.0
n4FINALtm,5,LincEl,Lincoln Elementary (6),8.5,22.5,38.5,32.5,27.5
n4FINALtm,6,StIgna,St. Ignatius (3),8.5,21.5,36.0,31.5,22.5
n4FINALtm,7,GlacRE,Glacier Ridge Elementary (2),7.5,19.0,31.0,45.0,23.5
n4FINALtm,8,Bellev,Bellevue Bishops (4),6.0,21.0,32.5,12.0,16.0
n4FINALtm,9,Master,Master Minds (3),6.0,20.5,34.0,38.0,23.0
n4FINALtm,10,BGCGC,BGCGC (5),6.0,20.5,34.0,16.0,16.0
n4FINALtm,11,Colera,Colerain (2),6.0,16.5,29.0,30.0,18.5
n4FINALtm,12,IndnEl,Indian Hill Elementary (2),6.0,14.5,24.5,23.0,20.0
n4FINALtm,13,Incarn,Incarnation (2),5.5,13.5,22.5,18.5,14.5
n4FINALtm,14,CinCDS,Cincinnati Country Day (2),4.5,13.0,20.5,11.5,11.0
n4FINALtm,15,HolyFm,Holy Family School (2),1.5,11.5,20.5,4.0,3.0
n4FINALtm,16,EthelT,Ethel Taylor Academy (2),1.5,10.5,18.0,1.5,2.5
n5FINALtm,1,Dragon,Dragon Chess Center (8),15.0,25.5,42.0,84.0,45.0
